titulo,tipo_de_producto,serie,procesador,disco_duro_tipo_de_disco_duro,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,sistema_operativo_sistema_operativo,procesador_nombre_clave,ram_tipo,procesador_numero_nucleos,grafica_tarjeta,comunicaciones_estandar_lan,tipo,propiedades_de_la_carcasa_tipo_de_caja,adecuado_para,procesador_zocalo_de_cpu,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_turbo_max_ghz,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,grafica_memoria_mb,alimentacion_wattage_binned,custom_category,equip_altavoces_estéreo,equip_refrigeración_líquida,equip_usb_c
Lenovo ThinkCentre M75t Gen2,PC de oficina,Lenovo ThinkCentre,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,AMD Radeon Graphics,Ethernet 10/100/1000,Desktop,microtorre,gaming,Socket 1700,707.99,1024.41,866.2,29.6,14.5,18.0,16.0,3200.0,1000.0,4.7,34.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Acer Predator Orion 7000 PO7-655
DG.E3ZEG.004",PC gaming,Acer Predator,Intel Core i9-14900KF,disco duro SSD,Intel,Core i9,2.0,Microsoft Windows 11 Home,Raptor Lake,DDR5,24.0,NVIDIA GeForce RTX 4090,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,5883.99,5883.99,5883.99,50.48,21.9,36.0,64.0,4800.0,2000.0,6.0,48.0,3.2,125.0,24576.0,Very_High_Power (>850W),Desktop_PC,0,1,0
ASUS ROG G22CH,PC gaming,ASUS ROG,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR5,8.0,Intel UHD Graphics 770,LAN 10/100/1000/2500,Desktop,desktop,gaming,Socket 1700,1846.48,3549.29,2697.89,29.4,16.8,18.0,16.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Captiva Highend Gaming R86
R86-610",PC gaming,Captiva Highend Gaming,AMD Ryzen 9 5900X,disco duro SSD,AMD,Ryzen 9,1.0,ninguno,Vermeer,DDR4,12.0,NVIDIA GeForce RTX 4070 Ti Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,2347.99,2347.99,2347.99,29.4,16.8,64.0,32.0,3200.0,1000.0,4.8,29.0,3.7,105.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
Sedatech UCCN515I1I1HF,PC gaming,Sedatech,AMD Ryzen 7 9800X3D,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Granite Ridge,DDR4,8.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM5,2199.9,2199.9,2199.9,29.4,16.8,96.0,32.0,3200.0,2000.0,5.2,29.0,4.7,120.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell Precision 7865 Tower
VGCYW",Workstation,Dell Precision,AMD Ryzen Threadripper PRO 5955WX,disco duro M.2 SSD,AMD,Ryzen Threadripper PRO,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,16.0,NVIDIA RTX A4000,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,5864.54,5864.54,5864.54,43.0,17.3,65.0,64.0,3200.0,1000.0,4.5,41.0,4.0,280.0,16384.0,Very_High_Power (>850W),Desktop_PC,0,0,0
"Minisforum NAB6
B0C73G6NMM",Mini PC,Minisforum,Intel Core i7-12650H,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics,LAN 10/100/1000/2500,Desktop,torre,gaming,Socket 1700,479.99,479.99,479.99,29.4,16.8,18.0,32.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Cubi 5
10M-033EU",Mini PC,MSI Cubi,Intel Core i3-10110U,disco duro SSD,Intel,Core i3,1.0,Microsoft Windows 10 Home,Comet Lake,DDR4,2.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,865.25,865.25,865.25,12.4,12.4,4.0,8.0,2666.0,1000.0,4.1,5.0,2.1,15.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Actina ENDORFY 5700X3D / 32GB / 1TB / RTX4060TI / 600W (KOMACNGIP0075),PC gaming,Actina ENDORFY,AMD Ryzen 7 5700X3D,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,1343.49,1563.23,1453.36,29.4,16.8,96.0,32.0,3200.0,1000.0,4.1,29.0,3.0,105.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Intel NUC 11
Pro Kit (BNUC11TNHV70L00)",Mini PC,Intel NUC,Intel Core i7-1185G7,sin disco duro,Intel,Core i7,0.0,ninguno,Raptor Lake,DDR4,8.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket 1700,722.03,740.49,731.26,11.2,11.7,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Omen 45L GT22
GT22-1000ng",PC gaming,HP Omen,Intel Core i9-13900K,disco duro SSD,Intel,Core i9,2.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 4090,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket 1700,12761.2,12761.2,12761.2,47.0,20.4,18.0,64.0,3200.0,4000.0,4.7,55.0,2.8,65.0,24576.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann Office V3 / i7-12700 / UHD 770 / 16GB / 1TB / DVD-RW / Windows 11/ WiFi / LibreOffice,PC de oficina,Ankermann Office,Inter Core i7-12700,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,12.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,629.0,669.0,649.0,29.4,16.8,25.0,16.0,3200.0,1000.0,4.9,29.0,2.1,180.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
VIST PRO PC i5-12400F / RTX 4060 / 16GB / SSD 1TB / W11,PC gaming,VIST PRO PC,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,894.9,894.9,894.9,29.4,16.8,18.0,16.0,3200.0,1000.0,4.4,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox II-31 Gaming PC i5-10400 / GTX 1660 Super,PC gaming,Vibox,Intel Core i5-10400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Comet Lake-S,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,899.95,899.95,899.95,29.4,16.8,12.0,16.0,3200.0,1000.0,4.3,29.0,2.9,65.0,6144.0,High_Power (501-850W),Desktop_PC,0,0,0
"Concept FutureNUC Pro
i3-1215U",Unknown,Concept FutureNUC,Intel Core i3-1215U,disco duro M.2 SSD,Intel,Core i3,0.0,ninguno,Alder Lake,DDR4,6.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket FCBGA 1744,349.0,349.0,349.0,11.2,11.7,10.0,16.0,3200.0,1000.0,4.4,4.0,1.2,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Zone Evil ZONI5_12G_1_RTX_3060_W_BK,PC gaming,Zone Evil,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,8.0,NVIDIA GeForce RTX 3060,Ethernet 10/100/1000,Desktop,desktop,gaming,Socket 1700,956.46,978.04,967.25,42.1,21.0,18.0,16.0,3200.0,1000.0,4.7,49.0,2.8,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
"Elitegroup ECS Liva Z3 Plus
95-699-MS5037",Mini PC,Elitegroup ECS Liva,Intel Core i5-10210U,disco duro M.2 SSD,Intel,Core i5,1.0,ninguno,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket 1700,336.94,336.94,336.94,12.8,11.7,18.0,16.0,3200.0,1000.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Medion Erazer Hunter X30
10025719",PC gaming,Medion Erazer,Intel Core Ultra 7 265KF,disco duro M.2 SSD,Intel,Intel Core Ultra 7,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR5,20.0,NVIDIA GeForce RTX 4080 Super,Ethernet 10/100/1000,Desktop,minitorre,gaming,Socket 1700,4346.16,4346.16,4346.16,47.6,21.0,36.0,32.0,3200.0,2000.0,5.5,44.0,3.9,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,1,0
"Blackview MP90
N97 / 16GB / 1TB",Mini PC,Blackview,Intel N97,disco duro M.2 SSD,Intel,Intel N,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,4.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,238.99,238.99,238.99,12.7,12.7,6.0,16.0,3200.0,1000.0,3.6,4.0,3.0,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Lenovo ThinkStation P520
Tower 30BE00S5GE",Workstation,Lenovo ThinkStation,Intel Xeon W-2225,disco duro SSD,Intel,Xeon,1.0,Microsoft Windows 10 Professional,Cascade Lake,DDR4,4.0,NVIDIA RTX A4500,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 2066,5466.42,5466.42,5466.42,46.0,16.5,8.0,32.0,3200.0,1000.0,4.6,44.0,2.8,105.0,20480.0,High_Power (501-850W),Desktop_PC,0,0,0
"Acer Revo RB610
DT.BL1EG.002",Mini PC,Acer Revo,Intel Core i5-1335U,disco duro M.2 SSD,Intel,Core i5,1.0,ninguno,Raptor Lake,DDR4,6.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,mini ITX,empresas,Socket 1700,523.29,523.29,523.29,17.8,17.8,12.0,16.0,3200.0,512.0,4.6,3.0,1.3,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"ASUS ExpertCenter D5 MT D500MD
D500MDCZ-712700015X",Workstation,ASUS ExpertCenter,Inter Core i7-12700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,12.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,minitorre,"empresas, principiante, profesional",Socket 1700,1543.62,1543.62,1543.62,29.1,16.2,25.0,16.0,3200.0,512.0,4.9,35.0,2.8,180.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Captiva Workstation I74
I74-709",Unknown,Captiva Workstation,Intel Core i9-12900K,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,16.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,semitorre,empresas,Socket 1700,2097.87,2097.87,2097.87,46.2,18.5,30.0,64.0,3200.0,1000.0,5.2,42.0,3.2,125.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell Precision 3460 SFF
5MKT2",Workstation,Dell Precision,Intel Core i7-13700,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,16.0,NVIDIA Quadro T1000,Ethernet 10/100/1000,Desktop,factor de forma pequeño (SFF),empresas,Socket 1700,2739.94,2739.94,2739.94,29.3,9.3,30.0,16.0,3200.0,512.0,5.2,29.0,2.1,219.0,4096.0,High_Power (501-850W),Desktop_PC,0,0,0
"Minisforum UM890 Pro
B0D9YKLHSK",Mini PC,Minisforum,AMD Ryzen 9 8945HS,disco duro SSD,AMD,Ryzen 9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR5,8.0,AMD Radeon 780M,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket 1700,743.0,743.0,743.0,12.7,13.0,18.0,32.0,5600.0,1000.0,4.7,6.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI Creator P100
P100X 12VTE-1214ES",PC gaming,MSI Creator,Intel Core i7-12700K,disco duro SSD,Intel,Core i7,2.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,12.0,NVIDIA GeForce RTX 3080,Ethernet 10/100/1000,Desktop,minitorre,gaming,Socket 1700,3591.08,3591.08,3591.08,37.2,13.2,25.0,32.0,4800.0,1000.0,5.0,40.0,3.6,125.0,10240.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina PC (5901443337379),PC gaming,Actina PC,AMD Ryzen 5 5500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Cezanne,DDR4,6.0,NVIDIA GeForce RTX 4060,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket AM4,1030.17,1098.48,1064.33,29.4,16.8,16.0,16.0,3200.0,1000.0,4.2,29.0,3.6,65.0,16384.0,High_Power (501-850W),Desktop_PC,0,0,0
"Intel NUC 11
Pro Kit (BNUC11TNHV50L00)",Mini PC,Intel NUC,Intel Core i5-1145G7,disco duro M.2 SSD,Intel,Core i5,1.0,ninguno,Tiger Lake,DDR4,4.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,mini ITX,bricolaje,Socket FCBGA1449,668.8,668.8,668.8,11.2,11.7,8.0,16.0,3200.0,1000.0,4.4,3.0,2.8,28.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Workstation Z4 G5
Z4 G5 (5E8M2EA)",Workstation,HP Z4,Intel Xeon w3-2423,disco duro M.2 SSD,Intel,Intel Xeon,1.0,Microsoft Windows 11 Professional,Sapphire Rapids,DDR5,6.0,NVIDIA RTX A2000,Ethernet 10/100/1000,Desktop,torre,gaming,Socket FCLGA4677,3286.9,3286.9,3286.9,44.4,16.8,15.0,32.0,4800.0,1024.0,4.2,38.0,2.1,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
Ankermann CAD PC (4260561743143),PC de oficina,Ankermann CAD PC,Intel Core i7-6700,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Skylake,DDR4,4.0,NVIDIA Quadro 600,Ethernet 10/100/1000,Desktop,semitorre,empresas,Socket 1151,499.0,519.0,509.0,29.4,16.8,8.0,32.0,3200.0,1000.0,4.0,29.0,3.4,65.0,1024.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST Business PC Ryzen 7 5700G / 32GB RX VEGA8 / SSD 1TB Win10,PC de oficina,VIST Business PC,AMD Ryzen 7 5700G,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Cezanne,DDR4,8.0,AMD Radeon RX Vega 8,Ethernet 10/100/1000,Desktop,semitorre,empresas,Socket AM4,528.9,528.9,528.9,29.4,16.8,16.0,32.0,3200.0,1000.0,4.6,29.0,3.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox VIII-35 Gaming PC i9-11900F / RTX 3070,PC gaming,Vibox,Intel Core i9-11900F,disco duro M.2 SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Rocket Lake-S,DDR4,8.0,NVIDIA GeForce RTX 3070,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1414.95,1414.95,1414.95,29.4,16.8,16.0,32.0,3200.0,1000.0,5.0,29.0,2.2,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Concept FutureNUC Pro
i3-1215U 8GB 256GB W11P",Mini PC,Concept FutureNUC,Intel Core i3-1215U,disco duro M.2 SSD,Intel,Core i3,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,6.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket FCBGA 1744,449.0,449.0,449.0,11.2,11.7,10.0,8.0,3200.0,256.0,4.4,4.0,1.2,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
Zone Evil EE99425,PC de oficina,Zone Evil,Intel Core i5-10400,disco duro SSD,Intel,Core i5,1.0,FreeDOS,Comet Lake,DDR4,6.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1200,323.48,329.36,326.42,17.0,37.0,12.0,8.0,2666.0,240.0,4.3,35.0,2.9,65.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
"Lenovo ThinkCentre M75q
M75q-1 (11A4000G)",PC de oficina,Lenovo ThinkCentre,AMD Ryzen 5 3400GE,disco duro M.2 SSD,AMD,Ryzen 5,1.0,Microsoft Windows 10 Professional,Raptor Lake,DDR4,8.0,AMD Radeon RX Vega 11,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),empresas,Socket 1700,1914.9,1914.9,1914.9,18.3,17.9,18.0,16.0,3200.0,512.0,4.7,3.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Acer Nitro N50-640,PC gaming,Acer Nitro,Unknown,disco duro SSD,Intel,Unknown,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1559.3,1726.58,1642.94,38.6,17.5,18.0,16.0,3200.0,1000.0,4.7,39.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"ASUS PB62
PB62-B5016MH",Mini PC,ASUS,Intel Core i5-11400,disco duro M.2 SSD,Intel,Core i5,1.0,ninguno,Rocket Lake,DDR4,6.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,1532.41,1532.41,1532.41,17.5,17.5,12.0,8.0,3200.0,256.0,4.4,4.0,2.6,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Captiva Highend Gaming R72
R72-381",PC gaming,Captiva Highend Gaming,AMD Ryzen 7 5800X,disco duro SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Home,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 4070 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,3643.54,3643.54,3643.54,29.4,16.8,32.0,32.0,3200.0,2000.0,4.7,29.0,3.8,105.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell OptiPlex 7010 Tower
H2RGJ",PC de oficina,Dell OptiPlex,Intel Core i5-13500,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,851.2,851.2,851.2,30.1,16.9,18.0,8.0,3200.0,512.0,4.7,36.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Minisforum GK41
B089CNZL8S",Mini PC,Minisforum,Intel Celeron J4125,disco duro SSD,Intel,Intel Celeron,1.0,Microsoft Windows 11 Professional,Gemini Lake,DDR4,4.0,Intel UHD Graphics 600,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket BGA1090,151.99,151.99,151.99,29.4,16.8,4.0,8.0,3200.0,256.0,2.7,29.0,2.8,10.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI MAG META S
3SI-019XEU",PC gaming,MSI MAG META,AMD Ryzen 5 3600,disco duro M.2 SSD,AMD,Ryzen 5,1.0,FreeDOS,Matisse,DDR4,6.0,NVIDIA GeForce GTX 1660 Super,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),gaming,Socket AM4,899.0,899.0,899.0,48.0,18.5,3.0,8.0,3200.0,512.0,4.2,42.0,2.8,65.0,6144.0,Medium_Power (201-500W),Desktop_PC,0,0,0
Actina Endorfy 13500 / 32GB / 1TB / RTX4060TI / 600W,PC gaming,Actina Endorfy,Intel Core i5-13500,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,14.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1488.37,1875.45,1681.91,29.4,16.8,24.0,32.0,3200.0,1000.0,4.8,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Elite Tower 600 G9
6U3Y3EA",Workstation,HP Elite,Intel Core i5-12500,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR5,6.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,947.14,947.14,947.14,30.8,15.5,18.0,8.0,4800.0,512.0,4.6,33.0,2.8,117.0,8192.0,Medium_Power (201-500W),Desktop_PC,0,0,0
Ankermann Ryzen Gaming V2 (4260561747189),PC gaming,Ankermann Ryzen Gaming,AMD Ryzen 7 5700X,disco duro M.2 SSD,AMD,Ryzen 7,1.0,Microsoft Windows 11 Professional,Vermeer,DDR4,8.0,NVIDIA GeForce RTX 3060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM4,1145.0,1319.0,1232.0,29.4,16.8,32.0,32.0,3200.0,1000.0,4.6,29.0,3.4,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
VIST ARGB PRO PC i5-12400F / RTX 4060 Ti / 32GB / SSD 1TB WiFi6 BT / W11 USB C DLSS 3,PC gaming,VIST ARGB PRO,Intel Core i5-12400F,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,6.0,NVIDIA GeForce RTX 4060 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,1153.9,1153.9,1153.9,29.4,16.8,18.0,32.0,3200.0,1000.0,4.4,29.0,2.5,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Vibox X-210 Gaming PC i9-13900KF / RTX 4070 Ti,PC gaming,Vibox,Intel Core i9-13900KF,disco duro M.2 SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,24.0,NVIDIA GeForce RTX 4070 Ti,Ethernet 10/100/1000,Desktop,torre,gaming,Socket 1700,2614.95,2614.95,2614.95,29.4,16.8,36.0,32.0,3200.0,1000.0,5.8,29.0,3.0,125.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
"Concept FutureNUC Lux
i7-1255U 32GB 1TB W11P",Mini PC,Concept FutureNUC,Intel Core i7-1255U,disco duro M.2 SSD,Intel,Core i7,1.0,Microsoft Windows 11 Professional,Alder Lake,DDR4,10.0,Intel Iris Xe Graphics,LAN 10/100/1000/2500,Desktop,mini ITX,gaming,Socket FCBGA 1744,758.0,758.0,758.0,11.2,11.2,12.0,32.0,3200.0,1000.0,4.7,3.0,1.7,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Lenovo ThinkCentre Neo 50t Gen 5
12UD000NGE",PC de oficina,Lenovo ThinkCentre,Intel Core i5-13400,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 11 Professional,Raptor Lake Refresh,DDR5,10.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,torre,empresas,Socket 1700,828.55,844.04,836.29,29.9,14.5,20.0,16.0,4800.0,512.0,4.6,34.0,2.5,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Acer Predator Orion 3000
DG.E2WEG.01A",PC gaming,Acer Predator,Intel Core i7-12700F,disco duro SSD,Intel,Core i7,1.0,Microsoft Windows 11 Home,Alder Lake,DDR4,12.0,NVIDIA GeForce RTX 3060,Ethernet 10/100/1000,Desktop,semitorre,principiante,Socket 1700,1049.99,1049.99,1049.99,35.0,16.3,25.0,16.0,3200.0,512.0,4.9,34.0,2.8,65.0,12288.0,High_Power (501-850W),Desktop_PC,0,0,0
"Captiva Advanced Gaming R73
R73-361",PC gaming,Captiva Advanced Gaming,AMD Ryzen 5 4500,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,6.0,NVIDIA GeForce RTX 3050,Ethernet 10/100/1000,Desktop,semitorre,gaming,Socket AM4,860.99,860.99,860.99,46.2,18.5,8.0,16.0,3200.0,500.0,4.1,42.0,3.6,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Dell OptiPlex 5070 Micro
77HH4",PC de oficina,Dell OptiPlex,Intel Core i5-9500T,disco duro M.2 SSD,Intel,Core i5,1.0,Microsoft Windows 10 Professional,Coffee Lake,DDR4,6.0,Intel UHD Graphics 630,Ethernet 10/100/1000,Desktop,factor de forma ultrapequeño (USFF),empresas,Socket 1151,724.31,724.31,724.31,17.8,3.6,9.0,8.0,2666.0,256.0,3.7,18.0,2.8,35.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
"Minisforum NAD9
B0BRSWPN4V",Mini PC,Minisforum,Intel Core i9-12900H,disco duro SSD,Intel,Core i9,1.0,Microsoft Windows 11 Professional,Raptor Lake,DDR4,8.0,Intel UHD Graphics,Ethernet 10/100/1000,Desktop,mini ITX,gaming,Socket 1700,469.0,469.0,469.0,29.4,16.8,18.0,32.0,3200.0,1000.0,4.7,29.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"MSI PRO DP130 11
11-205XEU",Unknown,MSI Pro,Unknown,disco duro SSD,Intel,Unknown,1.0,FreeDOS,Raptor Lake,DDR4,8.0,Intel UHD Graphics 770,Ethernet 10/100/1000,Desktop,torre,"empresas, profesional",Socket 1700,323.99,359.28,341.63,43.0,34.0,18.0,16.0,3200.0,1000.0,4.7,9.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
Actina Endorfy 7600 / 32GB / 1TB / RX7800XT / 750W,PC gaming,Actina Endorfy,AMD Ryzen 5 7600,disco duro SSD,AMD,Ryzen 5,1.0,Microsoft Windows 11 Professional,Raphael,DDR4,6.0,AMD Radeon RX 7800 XT,Ethernet 10/100/1000,Desktop,torre,gaming,Socket AM5,1369.59,2110.07,1739.83,29.4,16.8,32.0,32.0,3200.0,1000.0,5.1,29.0,3.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"Intel NUC 12
NUC12WSKI50Z",Mini PC,Intel NUC,Intel Core i5-1240P,disco duro M.2 SSD,Intel,Core i5,0.0,ninguno,Raptor Lake,DDR4,8.0,Intel Iris Xe Graphics,Ethernet 10/100/1000,Desktop,barebone,gaming,Socket 1700,1034.18,1034.18,1034.18,35.7,12.0,18.0,16.0,3200.0,1000.0,4.7,18.0,2.8,65.0,8192.0,High_Power (501-850W),Desktop_PC,0,0,0
"HP Slim S01
S01-pF3007ns",PC multimedia,HP Slim,Intel Core i5-13400,disco duro SSD,Intel,Core i5,1.0,Microsoft Windows 11 Home,Raptor Lake,DDR4,10.0,Intel UHD Graphics 730,Ethernet 10/100/1000,Desktop,desktop,principiante,Socket 1700,746.2,746.2,746.2,27.0,9.5,20.0,8.0,3200.0,512.0,4.6,30.0,2.5,65.0,8192.0,Low_Power (0-200W),Desktop_PC,0,0,0
