titulo,ofertas,tipo_de_producto,serie,pantalla_tamano_pulgadas,pantalla_diagonal_cm,pantalla_tecnologia,pantalla_luminosidad_cd_m2,procesador,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,conectividad_lector_de_tarjetas,comunicaciones_conectividad,comunicaciones_version_bluetooth,camara_webcam,camara_funcion,camara_resolucion,teclado_tipo,teclado_numero_de_teclas,teclado_teclas_adicionales,sonido_numero_de_altavoces,alimentacion_bateria,alimentacion_autonomia_de_la_bateria,alimentacion_vatios_hora,alimentacion,alimentacion_bateria_intercambiable,medidas_y_peso_material_de_la_carcasa,medidas_y_peso_diseno,medidas_y_peso_profundidad,medidas_y_peso_altura,medidas_y_peso_ancho,medidas_y_peso_peso,otras_caracteristicas_equipamiento,otras_caracteristicas_seguridad_integrada,otras_caracteristicas_sensor,otras_caracteristicas_fecha_de_lanzamiento,comunicaciones_estandar_wifi,pantalla_resolucion,pantalla_densidad_de_pixeles,pantalla_tasa_de_actualizacion_de_imagen,procesador_fabricante,procesador_tipo,disco_duro_numero_de_discos_duros_instalados,grafica_fabricante_tarjeta,grafica_memoria,sistema_operativo_sistema_operativo,conectividad_tipo_de_tarjetas_compatibles,sonido_sistema_de_altavoces,pantalla_formato_de_imagen,procesador_nombre_clave,procesador_nivel_de_cache,procesador_cache,ram_memoria,ram_tipo,ram_frecuencia_de_la_memoria,disco_duro_capacidad_de_memoria_ssd,teclado_caracteristica,alimentacion_numero_de_celdas,medidas_y_peso_color,otras_caracteristicas_portatil_configurable,procesador_numero_nucleos,procesador_frecuencia_de_reloj,procesador_frecuencia_turbo_max,procesador_potencia_max_de_diseno_termico_tdp,grafica_tipo_memoria,sistema_operativo_arquitectura_bit,pantalla_tiempo_de_reaccion,ram_extension_de_memoria_maxima,grafica_tarjeta,comunicaciones_transmision_de_datos,almacenamiento_lector_optico,alimentacion_voltaje_de_salida,alimentacion_intensidad_de_corriente,otras_caracteristicas_caracteristicas_especiales,pantalla,comunicaciones_estandar_lan,sonido_modo,alimentacion_capacidad_de_la_bateria,otras_caracteristicas_certificacion,ia_caracteristica,ram_numero_ranuras_memoria,ram_ranura_memoria,ram_configuracion_memoria,procesador_chipset,otras_caracteristicas_software_incluido,pantalla_displayglas,grafica_gpu,pantalla_propiedades,ia_funcion,ia_procesador,sonido_chip,disco_duro_capacidad_del_disco_duro,otras_caracteristicas_localizacion,conectividad_conexion,otras_caracteristicas_expansion_de_hardware,otras_caracteristicas_articulo_incluido,otras_caracteristicas_caracteristicas_de_la_carcasa,disco_duro_velocidad_de_rotacion_del_disco_duro,comunicaciones_caracteristicas_del_bluetooth,almacenamiento_velocidades_de_lectura,almacenamiento_velocidades_de_escritura,tipo,precio_min,precio_max,precio_mean,grafica_resolucion_externa_std,camara_resolucion_pulgadas,teclado_numero_de_teclas_horas,alimentacion_autonomia_de_la_bateria_horas,alimentacion_vatios,medidas_y_peso_profundidad_cm,medidas_y_peso_altura_mm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,pantalla_resolucion_pulgadas,pantalla_densidad_de_pixeles_ppp,pantalla_tasa_de_actualizacion_de_imagen_hz,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,sonido_potencia_de_altavoces_watts,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,procesador_potencia_maxima_de_diseno_termico_tdp_watts,ram_extension_de_memoria_maxima_gb,alimentacion_voltaje_de_salida_v,alimentacion_intensidad_de_corriente_a,alimentacion_capacidad_de_la_bateria_ah,disco_duro_capacidad_del_disco_duro_gb,disco_duro_velocidad_de_rotacion_del_disco_duro_rpm,Categoria_General
"Lenovo V15
82KD008SFR",1.0,Portátil multimedia,,15.6,39.62,Full HD,,AMD Ryzen 7 5700U,,HDMI,4 en 1,"wifi, Bluetooth",,integrada,,,,,,2.0,ión-litio,6 h,35.0,45 W,,,con tapa,"25,2 cm",20 mm,"36,2 cm","2,1 kg","lector de tarjetas, webcam, altavoces estéreo",,,2019.0,IEEE 802.11ac,1.920 x 1.080 píxeles,,,AMD,AMD Ryzen 7,1.0,AMD,"memoria compartida, 8.192 MB",Windows 11 Professional,,altavoces estéreo,16:9,Lucienne U,L3,8 MB,8 GB RAM,DDR4,3.200 MHz,512 GB,,2.0,negro,,8.0,"1,8 GHz","4,3 GHz",25 W,,64.0,,,AMD Radeon Graphics,,ninguno,,,,panorámica,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,799.0,799.0,799.0,,,,6.0,45.0,25.2,20.0,36.2,2.1,1920x1080,,,8.0,8.0,3200.0,512.0,3.0,1.8,4.3,25.0,,,,,,,Laptop
"GigaByte G5 2022
MF-E2ES333SD",1.0,Portátil gaming,Gigabyte G5,15.6,39.62,Full HD,,Intel Core i5-12500H,SSD,,,"wifi, Bluetooth",Bluetooth 5.2,1.0 Mpx,compatible con HD,1920 x 1080 píxeles,,,,,,,54.0,,,,con tapa,"23,8 cm",23 mm,36 cm,"1,99 kg","webcam, USB-C",,,2022.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,144 Hz,Intel,Intel Core i5,,NVIDIA,6.144 MB,Free DOS,,,16:9,Alder Lake-P,L3,18 MB,8 GB RAM,DDR4,3.200 MHz,512 GB,teclado iluminado,,gris,,12.0,"1,8 GHz","4,5 GHz",45 W,GDDR6,,,,NVIDIA GeForce RTX 4050,ninguna,ninguno,,,teclado numérico,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1119.5,1119.5,1119.5,,1920x1080,,,,23.8,23.0,36.0,1.99,1920x1080,,144.0,18.0,8.0,3200.0,512.0,,1.8,4.5,45.0,,,,,,,Laptop
"LG Gram 16 (2023)
16Z90R-GA P78F",1.0,Portátil multimedia,LG Gram,16.0,40.64,WQXGA,350.0,Intel Core i7-1360P,,,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,"23,5 h",80.0,,,,con tapa,"24,2 cm",17 mm,"35,5 cm","1,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2023.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Professional,MicroSD,,16:10,Raptor Lake-P,L3,18 MB,16 GB RAM,LPDDR5,6.000 MHz,1.000 GB,,,negro,,12.0,"2,2 GHz",5 GHz,28 W,,64.0,,,Intel Iris Xe Graphics,,ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1352.88,1352.88,1352.88,,1920x1080,,23.5,,24.2,17.0,35.5,1.2,2560x1600,,,18.0,16.0,6000.0,1000.0,,2.2,5.0,28.0,,,,,,,Laptop
"MSI Creator Z16 A12
A12UET-012ES",1.0,Portátil multimedia,MSI Creator,16.0,40.64,WQXGA,,Intel Core i7-12700H,SSD,Thunderbolt 4,integrado,"Bluetooth, wifi",Bluetooth 5.2,integrada,,1280 x 720 píxeles,,,,2.0,polímero de litio,,90.0,180 W,,,con tapa,"25,6 cm",16 mm,"35,9 cm","2,2 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2022.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,120 Hz,Intel,Intel Core i7,1.0,NVIDIA,6.144 MB,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Alder Lake-P,L3,24 MB,16 GB RAM,DDR5,4.800 MHz,1.000 GB,,4.0,gris,,14.0,"1,7 GHz","4,7 GHz",45 W,GDDR6,64.0,,,NVIDIA GeForce RTX 3060,,ninguno,,,,,,,,,,2x SO-DIMM,,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,2399.0,2399.0,2399.0,,1280x720,,,180.0,25.6,16.0,35.9,2.2,2560x1600,,120.0,24.0,16.0,4800.0,1000.0,,1.7,4.7,45.0,,,,,,,Laptop
"Medion Erazer Major X20
30035495",1.0,Portátil gaming,Medion Erazer,16.0,40.64,QHD+,,Intel Core i7-13700HX,,,3 en 1,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,,,,,con tapa,"26,9 cm",30 mm,"35,7 cm","2,37 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2023.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Home,,altavoces estéreo,16:10,Raptor Lake,L3,30 MB,16 GB RAM,DDR5,4.800 MHz,1.000 GB,,4.0,negro,,16.0,"1,5 GHz",5 GHz,55 W,GDDR6,64.0,,,NVIDIA GeForce RTX 4070,,ninguno,,,,,,,,,,0x SO-DIMM,2x SO-DIMM,2 x 8 GB,,,,,,,,,,,,,,,,,,,Laptop,2299.0,2299.0,2299.0,,1920x1080,,,,26.9,30.0,35.7,2.37,2560x1600,,,30.0,16.0,4800.0,1000.0,,1.5,5.0,55.0,,,,,,,Laptop
"Monsternotebook Tulpar Abra A5
A5 V20.3.3",1.0,Portátil gaming,,15.6,39.624,Full HD,,Intel Core i7-13700H,SSD,HDMI 2.1,,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,polímero de litio,,,150 W,,,con tapa,"24,4 cm",27 mm,"35,9 cm","2,1 kg","USB-C, altavoces estéreo, webcam",,,2023.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i7,1.0,NVIDIA,6.144 MB / 6 GB,Free DOS,,altavoces estéreo,16:9,Raptor Lake-H,L3,24 MB,16 GB RAM,DDR4,,1.000 GB,,3.0,negro,,14.0,"1,8 GHz",5 GHz,45 W,GDDR6,,,,NVIDIA GeForce RTX 4050,,,19 V,"7,89 A",,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,925.89,925.89,925.89,,1280x720,,,150.0,24.4,27.0,35.9,2.1,1920x1080,,,24.0,16.0,,1000.0,4.0,1.8,5.0,45.0,,19.0,7.89,,,,Laptop
"dynabook Tecra A40-J
A40-J-159",1.0,Portátil multimedia,dynabook Tecra,14.0,35.56,Full HD,,Intel Core i3-1125G4,PCIe SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.2,integrada,,,,,,2.0,polímero de litio,"9,4 h",,,,,con tapa,"22,1 cm",19 mm,"32,4 cm","1,45 kg","USB-C, altavoces estéreo, webcam, lector de tarjetas",,,2021.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i3,1.0,Intel,memoria compartida,Windows 10 Professional,MicroSD,altavoces estéreo,16:9,Tiger Lake UP3,L3,2 MB,16 GB RAM,DDR4,3.200 MHz,512 GB,,4.0,negro,,1.0,"0,85 GHz","2,6 GHz",34 W,,64.0,,,Intel UHD Graphics,,ninguno,,,,,Gigabit-LAN,,,,,2x SO-DIMM,,1 x 16 GB,,,,,,,,,,,,,,,,,,,Laptop,823.3,823.3,823.3,,,,9.4,,22.1,19.0,32.4,1.45,1920x1080,,,2.0,16.0,3200.0,512.0,,0.85,2.6,34.0,,,,,,,Laptop
"Apple MacBook Pro 13"" 2019
Space Gray (MUHN2Y/A)",,Portátil multimedia,Apple MacBook Pro,13.3,33.78,Retina,500.0,,SSD,Thunderbolt 3,,"wifi, Bluetooth",Bluetooth 5.0,,compatible con HD,1280 x 720 píxeles,teclado tipo chicle,65 teclas,,2.0,polímero de litio,10 h,58.0,61 W,no,aluminio,con tapa,"21,2 cm",15 mm,"30,4 cm","1,37 kg","micrófono integrado, webcam, altavoces estéreo, Force Touch Trackpad, Touch Bar, Touch ID",,sensor de luminosidad,2019.0,,2.560 x 1.600 píxeles,,,Intel,Intel Core i5,,Intel,memoria compartida,macOS Mojave,,altavoces estéreo,16:10,,,,8 GB RAM,LPDDR3,,128 GB,,,gris,,4.0,"1,4 GHz","3,9 GHz",,,,,,,ninguna,ninguno,,,,,,,,,,,,,,"Apple GarageBand, Apple Safari, Apple iTunes, Apple Time Machine, Apple Mac App Store, Apple FaceTime, Apple iMovie, Apple iBooks, Apple Siri",,,,,,,,,salida auriculares 3.5 mm Jack,,,,,,,,Laptop,,,,,1280x720,65.0,10.0,61.0,21.2,15.0,30.4,1.37,2560x1600,,,,8.0,,128.0,,1.4,3.9,,,,,,,,Laptop
"Samsung Galaxy Book 2 15
NP750XED-KB3DE",1.0,Portátil multimedia,Samsung Galaxy Book,15.6,39.62,Full HD,,Intel Core i5-1235U,SSD,HDMI,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,12 h,54.0,45 W,,,con tapa,"22,9 cm",15 mm,"35,7 cm","1,57 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2022.0,IEEE 802.11ax,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,MicroSD,,16:9,Alder Lake-P,L3,12 MB,8 GB RAM,,,256 GB,,,gris,,10.0,"0,9 GHz","4,4 GHz",15 W,,64.0,,,Intel Iris Xe Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,763.57,763.57,763.57,,1280x720,,12.0,45.0,22.9,15.0,35.7,1.57,1920x1080,,,12.0,8.0,,256.0,4.0,0.9,4.4,15.0,,,,,,,Laptop
"Razer Blade Pro 17 (2020)
RZ09-03295G63-R3G1",1.0,Portátil gaming,Razer Blade,17.3,43.94,,,Intel Core i7-10875H,PCIe SSD,,,"LAN, wifi, Bluetooth",Bluetooth 5.0,integrada,compatible con HD,,,,,,ión-litio,,70.5,230 W,,,con tapa,26 cm,20 mm,"39,5 cm","2,8 kg","micrófono integrado, webcam, altavoces estéreo",,,2020.0,,3.840 x 2.160 píxeles,,300 Hz,Intel,Intel Core i7,1.0,,8.192 MB,Windows 10 Home,,,16:9,Comet Lake-H,L3,16 MB,16 GB RAM,DDR4,3.944 MHz,1.000 GB,,2.0,,,8.0,"2,3 GHz","5,1 GHz",45 W,,64.0,,,NVIDIA GeForce RTX 2080 Super,,,,,,,Gigabit-LAN,,4583 mAh,,,,,,,,,,,,,,,,,,,,,,,,Laptop,3499.0,3499.0,3499.0,,,,,230.0,26.0,20.0,39.5,2.8,3840x2160,,300.0,16.0,16.0,3944.0,1000.0,,2.3,5.1,45.0,,,,4583.0,,,Laptop
"Schenker XMG Fusion 15 2024
E24vnk",1.0,Portátil gaming,Schenker XMG,15.3,38.862,WQXGA,500.0,Intel Core i7-14650HX,SSD,,3 en 1,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,99.8,280 W,,,con tapa,"24,5 cm",22 mm,"34,3 cm","2,1 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2024.0,,2.560 x 1.600 píxeles,,240 Hz,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 11 Professional,,altavoces estéreo,16:10,Raptor Lake-HX Refresh,L3,30 MB,16 GB RAM,,,1.000 GB,,,negro,,16.0,"1,6 GHz","5,2 GHz",55 W,GDDR6,64.0,,,NVIDIA GeForce RTX 4060,,,,,,,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2126.98,2126.98,2126.98,,1920x1080,,,280.0,24.5,22.0,34.3,2.1,2560x1600,,240.0,30.0,16.0,,1000.0,,1.6,5.2,55.0,,,,,,,Laptop
"Huawei MateBook D16 (2022)
53013DCX",1.0,Portátil multimedia,Huawei MateBook,16.0,40.64,WUXGA,300.0,Intel Core i5-12450H,SSD,HDMI 2.0,,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,polímero de litio,,60.0,65 W,,,con tapa,"23,4 cm",18 mm,"36,9 cm","1,7 kg","USB-C, altavoces estéreo, webcam",,,2022.0,,1.920 x 1.200 píxeles,,,Intel,Intel Core i5,1.0,Intel,memoria compartida,Windows 11 Home,,altavoces estéreo,16:10,Alder Lake-P,L3,12 MB,16 GB RAM,LPDDR4,,512 GB,,,gris,,8.0,"1,5 GHz","4,4 GHz",45 W,,64.0,,,Intel UHD Graphics,,,20 V,"3,25 A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,865.99,865.99,865.99,,1920x1080,,,65.0,23.4,18.0,36.9,1.7,1920x1200,,,12.0,16.0,,512.0,,1.5,4.4,45.0,,20.0,3.25,,,,Laptop
"Dell Precision 7680
3X3W5",1.0,Portátil profesional,Dell Precision,16.0,40.64,WUXGA,250.0,Intel Core i9-13950HX,,,integrado,"wifi, Bluetooth, LAN",,integrada,compatible con HD,1920 x 1080 píxeles,,,,,,,83.0,180 W,,,con tapa,"25,8 cm",27 mm,"35,6 cm","2,67 kg","USB-C, webcam, lector de tarjetas",,,2023.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,,Intel,Intel Core i9,1.0,NVIDIA,12.288 MB,Windows 11 Professional,SD,,16:10,Raptor Lake,L3,36 MB,32 GB RAM,DDR5,5.600 MHz,1.000 GB,,6.0,gris,,24.0,"1,6 GHz","5,5 GHz",55 W,GDDR6,64.0,,,NVIDIA RTX 3500,,ninguno,,,,panorámica,Gigabit-LAN,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,5039.11,5039.11,5039.11,,1920x1080,,,180.0,25.8,27.0,35.6,2.67,1920x1200,,,36.0,32.0,5600.0,1000.0,,1.6,5.5,55.0,,,,,,,Laptop
"ASUS ROG Zephyrus M16 GU604
GU604VY-NM003W",1.0,Portátil gaming,ASUS Republic of Gamers,16.0,40.64,WQXGA,,Intel Core i9-11900H,SSD,,,"Bluetooth, wifi",Bluetooth 5.2,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,ión-litio,,90.0,280 W,,,con tapa,"24,6 cm",23 mm,"35,5 cm","2,3 kg","USB-C, altavoces estéreo, webcam",,,2023.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i9,1.0,NVIDIA,16.384 MB / 16 GB,Windows 11 Home,,,16:10,Tiger Lake H45,L3,24 MB,32 GB RAM,,,1.000 GB,,4.0,negro,,8.0,"2,5 GHz","4,9 GHz",45 W,GDDR6,64.0,3 ms,,NVIDIA GeForce RTX 4090,,,20 V,12 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,5856.55,5856.55,5856.55,,1920x1080,,,280.0,24.6,23.0,35.5,2.3,2560x1600,,,24.0,32.0,,1000.0,4.0,2.5,4.9,45.0,,20.0,12.0,,,,Laptop
"HP EliteBook x360 1040 G10
818Y9EA",1.0,Portátil convertible,HP EliteBook,14.0,35.56,WUXGA,400.0,Intel Core i7-1355U,SSD,,,"wifi, Bluetooth",Bluetooth 5.3,5.0 Mpx,,,,,,4.0,ión-litio,,51.0,65 W,,,convertible,"22,6 cm",19 mm,"31,6 cm","1,34 kg","webcam, altavoces estéreo, USB-C",,,2023.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Professional,,,16:10,Raptor Lake-U,L3,12 MB,16 GB RAM,LPDDR5,,512 GB,,3.0,plateado,,10.0,"1,2 GHz",5 GHz,15 W,,64.0,,,Intel Iris Xe Graphics,,,,,,,,,,,,,,,,,,,convertible,,,,,,,,,,,,,,Laptop,1890.0,1890.0,1890.0,,,,,65.0,22.6,19.0,31.6,1.34,1920x1200,,,12.0,16.0,,512.0,,1.2,5.0,15.0,,,,,,,Laptop
"Microsoft Surface Laptop 5 13.5
RI9-00027",1.0,Portátil profesional,Microsoft Surface,13.5,34.29,,400.0,Intel Core i7-1265U,SSD,Thunderbolt 4,,"wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,18 h,,,,aluminio,con tapa,"22,3 cm",15 mm,"30,8 cm","1,3 kg","USB-C, altavoces estéreo, webcam",,,2022.0,IEEE 802.11ax,2.496 x 1.664 píxeles,,,Intel,Intel Core i7,,,,Windows 11 Professional,,,3:2,Alder Lake-P,L3,12 MB,16 GB RAM,LPDDR5X,,256 GB,,,negro,,10.0,"1,3 GHz","4,8 GHz",15 W,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2256.69,2256.69,2256.69,,1280x720,,18.0,,22.3,15.0,30.8,1.3,2496x1664,,,12.0,16.0,,256.0,,1.3,4.8,15.0,,,,,,,Laptop
"Acer Swift 3 (SF314-511)
SF314-511-56CX",,Portátil multimedia,Acer Swift,14.0,35.56,Full HD,,Intel Core i5-1135G7,SSD,HDMI,,"wifi, Bluetooth",Bluetooth 5.1,integrada,,,teclado FineTip,,,2.0,ión-litio,"11,5 h",,65 W,,,con tapa,"21,9 cm",17 mm,"32,3 cm","1,2 kg","webcam, altavoces estéreo, USB-C",,,2021.0,,1.920 x 1.080 píxeles,,,Intel,Intel Core i5,1.0,,,Windows 10 Home,,altavoces estéreo,16:9,Tiger Lake UP3,L3,8 MB,8 GB RAM,,,256 GB,,4.0,negro,,4.0,"2,4 GHz","4,2 GHz",15 W,,64.0,,,,,,,,,,,,3220 mAh,,,,,,,,,,,,,,,,,,,,,,,,Laptop,,,,,,,11.5,65.0,21.9,17.0,32.3,1.2,1920x1080,,,8.0,8.0,,256.0,,2.4,4.2,15.0,,,,3220.0,,,Laptop
"Lenovo Legion 5 Pro 16 (2022)
82RG0047GE",1.0,Portátil gaming,Lenovo Legion,16.0,40.64,WQXGA,500.0,AMD Ryzen 5 6600H,SSD,,,"LAN, wifi, Bluetooth",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,,5 h,80.0,230 W,,,con tapa,"26,4 cm",27 mm,"35,9 cm","2,49 kg","webcam, altavoces estéreo, USB-C",tapa webcam,,2022.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,AMD,AMD Ryzen 5,1.0,NVIDIA,6.144 MB / 6 GB,Windows 11 Home,,altavoces estéreo,16:10,Rembrandt H,L3,16 MB,16 GB RAM,,,1.000 GB,teclado iluminado,,gris,,6.0,"3,3 GHz","4,5 GHz",45 W,,64.0,,,NVIDIA GeForce RTX 3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1615.99,1615.99,1615.99,,1280x720,,5.0,230.0,26.4,27.0,35.9,2.49,2560x1600,,,16.0,16.0,,1000.0,4.0,3.3,4.5,45.0,,,,,,,Laptop
"GigaByte Aero 15 OLED (2021)
XD-73FR624SP",1.0,Portátil gaming,Gigabyte Aero,15.6,39.62,,,Intel Core i7-11800H,PCIe SSD,,integrado,"wifi, Bluetooth, LAN",Bluetooth 5.0,integrada,compatible con HD,,,,,2.0,polímero de litio,8 h,99.0,230 W,,,con tapa,25 cm,20 mm,"35,6 cm",2 kg,"altavoces estéreo, lector de tarjetas, webcam",,,2021.0,,3.840 x 2.160 píxeles,,,Intel,Intel Core i7,1.0,NVIDIA,8.192 MB / 8 GB,Windows 10 Professional,SD,altavoces estéreo,16:9,Tiger Lake H45,L3,24 MB,16 GB RAM,DDR4,3.200 MHz,1.000 GB,teclado iluminado,,negro,,8.0,"2,3 GHz","4,6 GHz",45 W,GDDR6,64.0,,64 GB,NVIDIA GeForce RTX 3070,,ninguno,,,,,"2,5-Gbit/s-Ethernet",,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,2140.0,2140.0,2140.0,,,,8.0,230.0,25.0,20.0,35.6,2.0,3840x2160,,,24.0,16.0,3200.0,1000.0,,2.3,4.6,45.0,64.0,,,,,,Laptop
"LG Gram 16
16Z95P-G.AA78B",2.0,Portátil multimedia,LG Gram,16.0,40.64,WQXGA,,Intel Core i7-1195G7,SSD,HDMI,integrado,"Bluetooth, wifi",Bluetooth 5.1,integrada,compatible con HD,1280 x 720 píxeles,,,,2.0,ión-litio,,80.0,,,,con tapa,"24,3 cm",17 mm,"35,6 cm","1,19 kg","altavoces estéreo, webcam, lector de tarjetas",,,2021.0,IEEE 802.11ax,2.560 x 1.600 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Tiger Lake UP3,L3,12 MB,16 GB RAM,LPDDR4X,4.267 MHz,512 GB,teclado iluminado,,negro,,4.0,"2,9 GHz",5 GHz,28 W,,64.0,,,Intel Iris Xe Graphics,ninguna,ninguno,,,teclado numérico,IPS,,,,,,,,1 x 16 GB,,,,,,,,,,,,,,,,,,,Laptop,1699.0,2135.86,1917.43,,1280x720,,,,24.3,17.0,35.6,1.19,2560x1600,,,12.0,16.0,4267.0,512.0,4.0,2.9,5.0,28.0,,,,,,,Laptop
"MSI Prestige 14 B13
B13-276ES",1.0,Portátil multimedia,MSI Prestige,14.0,35.56,FHD+,,Intel Core i7-13700H,,,integrado,"wifi, Bluetooth",Bluetooth 5.3,integrada,compatible con HD,1920 x 1080 píxeles,,,,2.0,,,72.0,100 W,,,con tapa,"22,8 cm",18 mm,"31,4 cm","1,49 kg","USB-C, altavoces estéreo, lector de tarjetas, webcam",,,2023.0,IEEE 802.11ax,1.920 x 1.200 píxeles,,,Intel,Intel Core i7,1.0,Intel,memoria compartida,Windows 11 Home,MicroSD,altavoces estéreo,16:10,Raptor Lake-H,L3,24 MB,16 GB RAM,LPDDR5,,512 GB,teclado iluminado,4.0,plateado,,14.0,"1,8 GHz",5 GHz,45 W,,64.0,,,Intel Iris Xe Graphics,ninguna,ninguno,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,1651.49,1651.49,1651.49,,1920x1080,,,100.0,22.8,18.0,31.4,1.49,1920x1200,,,24.0,16.0,,512.0,4.0,1.8,5.0,45.0,,,,,,,Laptop
